Dist    Strength    Reserved    TS          
5670    529         0           15:43:55.206   
5670    546         0           15:43:55.218   
5670    537         0           15:43:55.230   
5670    530         0           15:43:55.230   
5670    544         0           15:43:55.248   
5670    539         0           15:43:55.260   
5670    537         0           15:43:55.260   
5670    539         0           15:43:55.278   
5670    534         0           15:43:55.296   
5670    539         0           15:43:55.296   
5670    534         0           15:43:55.308   
5670    540         0           15:43:55.320   
5670    535         0           15:43:55.320   
5669    540         0           15:43:55.338   
5669    538         0           15:43:55.350   
5669    539         0           15:43:55.350   
5669    533         0           15:43:55.368   
5669    532         0           15:43:55.386   
5669    538         0           15:43:55.386   
5669    530         0           15:43:55.399   
5669    537         0           15:43:55.410   
5669    530         0           15:43:55.410   
5670    532         0           15:43:55.428   
5670    546         0           15:43:55.440   
5670    540         0           15:43:55.440   
5670    536         0           15:43:55.458   
5670    538         0           15:43:55.470   
5670    539         0           15:43:55.470   
5670    535         0           15:43:55.488   
5670    531         0           15:43:55.500   
5670    536         0           15:43:55.500   
5670    541         0           15:43:55.518   
5670    544         0           15:43:55.531   
5670    538         0           15:43:55.531   
5670    534         0           15:43:55.549   
5670    537         0           15:43:55.561   
5670    537         0           15:43:55.561   
5670    534         0           15:43:55.585   
5670    536         0           15:43:55.585   
5669    520         0           15:43:55.597   
5669    541         0           15:43:55.609   
5669    524         0           15:43:55.621   
5669    536         0           15:43:55.621   
5669    537         0           15:43:55.639   
5669    528         0           15:43:55.651   
5669    536         0           15:43:55.651   
5669    535         0           15:43:55.675   
5669    529         0           15:43:55.675   
5669    535         0           15:43:55.687   
5669    524         0           15:43:55.699   
5669    525         0           15:43:55.711   
5669    530         0           15:43:55.711   
5669    532         0           15:43:55.729   
5669    532         0           15:43:55.741   
5669    530         0           15:43:55.741   
5669    532         0           15:43:55.765   
5669    544         0           15:43:55.765   
5670    540         0           15:43:55.777   
5670    523         0           15:43:55.789   
5670    531         0           15:43:55.801   
5670    539         0           15:43:55.801   
5670    542         0           15:43:55.819   
5670    538         0           15:43:55.831   
5670    533         0           15:43:55.831   
5670    534         0           15:43:55.849   
5670    532         0           15:43:55.867   
5670    531         0           15:43:55.867   
5670    537         0           15:43:55.879   
5670    540         0           15:43:55.891   
5670    528         0           15:43:55.891   
5670    541         0           15:43:55.909   
5670    524         0           15:43:55.921   
5669    536         0           15:43:55.921   
5670    536         0           15:43:55.939   
5669    536         0           15:43:55.957   
5669    534         0           15:43:55.957   
5669    541         0           15:43:55.969   
5669    528         0           15:43:55.981   
5669    532         0           15:43:55.981   
5669    535         0           15:43:55.999   
5669    534         0           15:43:56.11    
5669    537         0           15:43:56.11    
5669    539         0           15:43:56.29    
5669    535         0           15:43:56.47    
5669    529         0           15:43:56.47    
5669    532         0           15:43:56.59    
5669    531         0           15:43:56.71    
5669    537         0           15:43:56.71    
5669    541         0           15:43:56.89    
5669    530         0           15:43:56.101   
5669    541         0           15:43:56.101   
5670    530         0           15:43:56.119   
5670    531         0           15:43:56.131   
5669    532         0           15:43:56.131   
5670    535         0           15:43:56.149   
5670    532         0           15:43:56.161   
5670    545         0           15:43:56.161   
5670    537         0           15:43:56.179   
5670    544         0           15:43:56.191   
5670    534         0           15:43:56.191   
5670    531         0           15:43:56.209   
5670    530         0           15:43:56.221   
5670    542         0           15:43:56.221   
5670    528         0           15:43:56.239   
5670    532         0           15:43:56.251   
5670    540         0           15:43:56.251   
5670    532         0           15:43:56.269   
5669    540         0           15:43:56.281   
5670    532         0           15:43:56.281   
5669    529         0           15:43:56.299   
5669    530         0           15:43:56.311   
5669    526         0           15:43:56.311   
5669    528         0           15:43:56.335   
5669    544         0           15:43:56.335   
5669    542         0           15:43:56.348   
5670    542         0           15:43:56.359   
5670    532         0           15:43:56.371   
5670    536         0           15:43:56.372   
5670    542         0           15:43:56.389   
5670    518         0           15:43:56.401   
5670    537         0           15:43:56.401   
5670    540         0           15:43:56.425   
5670    528         0           15:43:56.425   
5670    534         0           15:43:56.437   
5670    533         0           15:43:56.449   
5670    538         0           15:43:56.461   
5670    532         0           15:43:56.461   
5669    540         0           15:43:56.479   
5669    527         0           15:43:56.491   
5669    521         0           15:43:56.491   
5669    527         0           15:43:56.515   
5669    536         0           15:43:56.515   
5669    537         0           15:43:56.527   
5669    534         0           15:43:56.539   
5669    548         0           15:43:56.551   
5669    548         0           15:43:56.551   
5670    533         0           15:43:56.569   
5670    520         0           15:43:56.581   
5670    542         0           15:43:56.581   
5670    533         0           15:43:56.599   
5670    543         0           15:43:56.617   
5670    532         0           15:43:56.617   
5670    536         0           15:43:56.629   
5670    540         0           15:43:56.641   
5670    532         0           15:43:56.641   
5669    533         0           15:43:56.659   
5670    539         0           15:43:56.671   
5670    530         0           15:43:56.671   
5670    531         0           15:43:56.689   
5670    543         0           15:43:56.707   
5670    530         0           15:43:56.707   
5670    538         0           15:43:56.719   
5669    534         0           15:43:56.731   
5669    540         0           15:43:56.731   
5670    546         0           15:43:56.749   
5670    530         0           15:43:56.761   
5670    525         0           15:43:56.761   
5670    531         0           15:43:56.779   
5670    533         0           15:43:56.797   
5670    533         0           15:43:56.797   
5670    531         0           15:43:56.809   
5670    548         0           15:43:56.821   
5670    541         0           15:43:56.821   
5669    527         0           15:43:56.839   
5669    527         0           15:43:56.851   
5669    522         0           15:43:56.851   
5669    523         0           15:43:56.869   
5669    528         0           15:43:56.881   
5669    533         0           15:43:56.881   
5669    543         0           15:43:56.899   
5669    526         0           15:43:56.911   
5669    531         0           15:43:56.911   
5669    533         0           15:43:56.929   
5669    520         0           15:43:56.941   
5669    537         0           15:43:56.941   
5669    536         0           15:43:56.959   
5670    544         0           15:43:56.971   
5670    540         0           15:43:56.971   
5670    535         0           15:43:56.995   
5670    534         0           15:43:56.995   
5670    537         0           15:43:57.7     
5670    532         0           15:43:57.19    
5670    539         0           15:43:57.31    
5670    541         0           15:43:57.31    
5670    533         0           15:43:57.49    
5670    534         0           15:43:57.61    
5670    536         0           15:43:57.61    
5669    528         0           15:43:57.85    
5670    535         0           15:43:57.85    
5669    541         0           15:43:57.97    
5669    538         0           15:43:57.109   
5669    538         0           15:43:57.121   
5669    533         0           15:43:57.121   
5669    536         0           15:43:57.139   
5669    543         0           15:43:57.151   
5669    533         0           15:43:57.151   
5669    528         0           15:43:57.169   
5669    532         0           15:43:57.187   
5670    537         0           15:43:57.187   
5670    539         0           15:43:57.199   
5670    545         0           15:43:57.211   
5670    538         0           15:43:57.211   
5670    538         0           15:43:57.229   
5670    534         0           15:43:57.241   
5670    538         0           15:43:57.241   
5670    533         0           15:43:57.259   
5670    537         0           15:43:57.277   
5670    530         0           15:43:57.277   
5670    522         0           15:43:57.289   
5669    528         0           15:43:57.301   
5669    533         0           15:43:57.301   
5669    535         0           15:43:57.319   
5670    532         0           15:43:57.331   
5670    537         0           15:43:57.331   
5670    537         0           15:43:57.349   
5670    536         0           15:43:57.367   
5670    535         0           15:43:57.367   
5670    532         0           15:43:57.379   
5670    538         0           15:43:57.391   
5670    532         0           15:43:57.391   
5670    543         0           15:43:57.409   
5670    537         0           15:43:57.421   
5670    534         0           15:43:57.421   
5669    532         0           15:43:57.439   
5669    533         0           15:43:57.451   
5669    528         0           15:43:57.451   
5670    534         0           15:43:57.469   
5670    537         0           15:43:57.481   
5670    528         0           15:43:57.481   
5670    535         0           15:43:57.499   
5670    534         0           15:43:57.511   
5670    538         0           15:43:57.511   
5670    534         0           15:43:57.529   
5670    530         0           15:43:57.541   
5670    539         0           15:43:57.541   
5670    535         0           15:43:57.565   
5670    537         0           15:43:57.565   
5670    535         0           15:43:57.577   
5670    534         0           15:43:57.589   
5670    536         0           15:43:57.601   
5670    535         0           15:43:57.601   
5670    532         0           15:43:57.619   
5670    529         0           15:43:57.631   
5670    538         0           15:43:57.631   
5670    541         0           15:43:57.655   
5670    527         0           15:43:57.655   
5670    535         0           15:43:57.667   
5670    538         0           15:43:57.679   
5670    537         0           15:43:57.691   
5670    534         0           15:43:57.691   
5670    537         0           15:43:57.709   
5670    537         0           15:43:57.721   
5670    530         0           15:43:57.721   
5670    540         0           15:43:57.745   
5670    530         0           15:43:57.745   
5670    537         0           15:43:57.757   
5670    523         0           15:43:57.769   
5669    538         0           15:43:57.781   
5669    545         0           15:43:57.781   
5669    537         0           15:43:57.799   
5669    535         0           15:43:57.811   
5670    539         0           15:43:57.811   
5670    538         0           15:43:57.829   
5670    540         0           15:43:57.847   
5670    534         0           15:43:57.847   
5670    541         0           15:43:57.859   
5670    537         0           15:43:57.871   
5670    538         0           15:43:57.871   
5669    524         0           15:43:57.889   
5669    532         0           15:43:57.901   
5669    540         0           15:43:57.901   
5669    533         0           15:43:57.919   
5669    533         0           15:43:57.937   
5669    535         0           15:43:57.937   
5669    528         0           15:43:57.949   
5669    530         0           15:43:57.961   
5670    533         0           15:43:57.961   
5670    539         0           15:43:57.979   
5670    542         0           15:43:57.991   
5670    534         0           15:43:57.991   
5670    539         0           15:43:58.9     
5669    541         0           15:43:58.27    
5669    542         0           15:43:58.27    
5670    534         0           15:43:58.39    
5670    529         0           15:43:58.51    
5670    533         0           15:43:58.51    
5670    537         0           15:43:58.69    
5670    540         0           15:43:58.81    
5670    537         0           15:43:58.81    
5670    535         0           15:43:58.101   
5670    531         0           15:43:58.111   
5670    537         0           15:43:58.111   
5669    536         0           15:43:58.129   
5669    527         0           15:43:58.141   
5669    532         0           15:43:58.141   
5669    535         0           15:43:58.159   
5669    534         0           15:43:58.171   
5669    533         0           15:43:58.171   
5669    534         0           15:43:58.189   
5669    532         0           15:43:58.201   
5669    528         0           15:43:58.201   
5670    548         0           15:43:58.225   
5670    536         0           15:43:58.225   
5670    530         0           15:43:58.237   
5670    535         0           15:43:58.249   
5670    533         0           15:43:58.261   
5669    524         0           15:43:58.261   
5670    542         0           15:43:58.279   
5670    538         0           15:43:58.291   
5670    528         0           15:43:58.291   
5669    530         0           15:43:58.315   
5669    539         0           15:43:58.315   
5669    541         0           15:43:58.327   
5669    543         0           15:43:58.339   
5669    524         0           15:43:58.351   
5669    538         0           15:43:58.351   
5669    538         0           15:43:58.369   
5669    532         0           15:43:58.381   
5669    533         0           15:43:58.381   
5669    534         0           15:43:58.399   
5669    534         0           15:43:58.417   
5669    528         0           15:43:58.417   
5669    532         0           15:43:58.429   
5669    540         0           15:43:58.441   
5669    538         0           15:43:58.441   
5670    538         0           15:43:58.459   
5670    534         0           15:43:58.471   
5670    538         0           15:43:58.471   
5670    530         0           15:43:58.489   
5670    539         0           15:43:58.507   
5670    536         0           15:43:58.507   
5670    532         0           15:43:58.519   
5670    533         0           15:43:58.531   
5670    533         0           15:43:58.531   
